Question,A,B,C,D,Answer
"Vai trò chủ yếu của vitamin A","Tham gia vào cơ chế nhìn của mắt","Chống bệnh pellagra","Tham gia vào quá trình đông máu","Là coenzym của những enzym xúc tác cho phản ứng trao đổi amin và decarboxyl của một số acid amin","A"
"Đối tượng nghiên cứu của hóa sinh là","Hóa sinh tĩnh","Hóa sinh động","A và B","Không có câu đúng","C"
"Động hóa học được chia làm mấy loại","2","3","4","5","B"
"Năng lượng giải phóng của chu trình Krebs","5 ATP","9 ATP","3 ATP","12 ATP","D"
"Chia chuỗi hô hấp tế bào ra làm mấy giai đoạn","3","4","5","6","B"
"Thành phần hóa học chính của DNA là","Guanin, Adenin, Cytosin, Uracil, β.D ribose, H3PO4","Adenin, Guanin, Uracil, Thymin, β.D deoxyribose, H3PO4","Guanin, Adenin, Cytosin, Thymin, β.D deoxyribose, H3PO4","Guanin, Adenin, Uracil, Thymin, β.D deoxyribose, H3PO4","C"
"Thành phần hóa học chính của RNA là","Guanin, Adenin, Cytosin, Thymin, β.D ribose, H3PO4","Adenin, Guanin, Uracil, Cytosin, β.D ribose, H3PO4","Guanin, Adenin, Cytosin, Thymin, β.D deoxyribose, H3PO4","Guanin, Adenin, Uracil, Thymin, β.D deoxyribose, H3PO4","B"
"Acid nucleic gồm","DNA và rRNA","DNA và RNA","DNA và mRNA","DNA và tRNA","B"
"Trong các chất sau đây chất nào tác dụng với Iod cho màu xanh","Tinh bột","Amylopeptin","Glycogen","Cellulose","A"
"Chất nào không có tính khử","Saccarose","Lactose","Mantose","Galactose","A"
"Sự tổng hợp glycogen ở các mô tế bào chủ yếu ở","Tim và phổi","Gan và cơ","Thận và gan","Tim và gan","B"
"Glucid được phân ra làm mấy loại","1","2","3","4","C"
"Các vitamin tan được trong Lipid","Vitamin C, Vitamin A","Vitamin B1, B2","Vitamin PP, B6, B12","Vitamin A, D, E, K","D"
"Quá trình β oxy hóa gồm mấy phản ứng","1","2","3","4","D"
"Biểu thị thứ tự sắp xếp các acid amin trong chuỗi polypeptid, hoặc nhiều chuỗi polypeptide và vị trí của liên kết disulfide là cấu trúc bậc mấy của protein","Cấu trúc bậc I","Cấu trúc bậc II","Cấu trúc bậc III","Cấu trúc bậc IV","A"
"Biểu thị sự xoắn và gấp khúc của chuỗi polypeplid, liên kết disulfide đóng vai trò quan trọng trong cấu trúc bậc mấy của protein","Cấu trúc bậc I","Cấu trúc bậc II","Cấu trúc bậc III","Cấu trúc bậc IV","C"
"Protein gồm mấy cấu trúc","3","4","5","6","B"
"Phân loại protid gồm mấy loại","2","3","4","5","B"
"Vitamin tan trong lipid","Vitamin C","Vitamin B12","Vitamin B6","Vitamin E","D"
"Vitamin D cần thiết cho","Quá trình chuyển hóa Ca2+ và phosphor","Chuyển prothrombin thành thrombin","Qúa trình tạo máu","Chống thiếu máu","A"
"Trong động hóa học theo chiều thuận k1 A và B là","Chất phản ứng","Sản phẩm","A và B","Không có câu đúng","A"
"Có mấy loại RNA chính","2","3","4","5","B"
"Chu trình Krebs gồm mấy giai đoạn","6","7","8","9","C"
"Lipid thuần gồm","Glycerid, Cerid, Sterid","Glycerid, Phosphatid, Sterid","Phosphatid, Glycolipid, Sterid","Phosphatid, Glycolipid","A"
"Trạng thái cân bằng động","V1 > V2","V1 ≤ V2","V1 < V2","V1 = V2","D"
