Question,A,B,C,D,Answer
"Đốt cháy hoàn toàn 2,2 gam một alkan X thu 3,36 lít khí CO2 (đktc). CTPT của X?","CH4","C2H6","C3H8","C4H10","C"
"Đốt cháy hoàn toàn 2,92 gam hh X gồm 2 alkan kế tiếp thu được H2O và 4,48 lít CO2 (đktc). Vậy X là:","CH4 và C2H6","C2H6 và C3H8","C3H8 và C4H10","C4H10 và C5H12","C"
"Cho 2,84 gam hỗn hợp 2 alcol đơn chức kế tiếp tác dụng Na tạo chất rắn. CTPT 2 alcol là:","CH3OH và C2H5OH","C2H5OH và C3H7OH","C2H3OH và C3H5OH","C3H5OH và C4H7OH","A"
"CTCT của glycerol là:","HO-CH2-CHOH-CH2OH","HO-CH2-CH2-OH","HO-CH2-CHOH-CH3","HO-CH2-CH2-CH2-OH","A"
"Khi lên men 360 gam glucose hiệu suất 100%, khối lượng ethanol thu được là:","92 gam","184 gam","138 gam","276 gam","B"
"Đun acid carboxylic đơn chức với 9,2 gam C2H5OH tạo 14,8 gam este. Acid là:","CH3COOH","HCOOH","CH3COOCH3","C2H5COOH","B"
"So sánh tính acid của CH2Cl-CH2COOH, CH3COOH, HCOOH, CH3-CHCl-COOH","(3)>(2)>(1)>(4)","(4)>(2)>(1)>(3)","(4)>(1)>(3)>(2)","(1)>(2)>(4)>(3)","C"
"Thứ tự tăng tính acid của C2H5OH, C6H5OH, CH3COOH","C2H5OH<CH3COOH<C6H5OH","C6H5OH<CH3COOH<C2H5OH","CH3COOH<C6H5OH<C2H5OH","C2H5OH<C6H5OH<CH3COOH","D"
"Thuốc thử nhận biết ethanol, glycerol, acetaldehyde","Cu(OH)2","Quỳ tím","Na","AgNO3/NH3","A"
"Oxi hóa hoàn toàn 2,2 gam aldehyde thu được 3 gam acid. Aldehyde là:","HCHO","C2H3CHO","C2H5CHO","CH3CHO","D"
"Cho aldehyde phản ứng AgNO3/NH3 thu được 21,6g Ag. CTCT aldehyde:","HCHO","CH2=CHCHO","OHC-CHO","CH3CHO","C"
"Dãy đều tác dụng với AgNO3/NH3","Alđehyd acetic, but-1-yn, ethilen","Alđehyd acetic, acetilen, but-2-yn","Acid fomic, vinylaxetilen, propyn","Alđehyd fomic, acetilen, ethilen","C"
"Chất thuộc loại carbohydrat","Ethanol","PVC","Xenlulose","Glycerol","C"
"Cặp không phải đồng phân","Mantose và saccarose","Tinh bột và xenlulose","Fructose và glucose","Methyl fomat và acid acetic","B"
"Tinh bột, xenlulose, saccarose, mantose đều tham gia phản ứng","Hòa tan Cu(OH)2","Trùng ngưng","Tráng gương","Thủy phân","D"
"Saccarose và glucose đều có","Pư với NaCl","Pư thủy phân acid","Pư với Cu(OH)2 tạo xanh lam","Pư tráng gương","C"
"Glucose → X → Y → CH3COOH. X,Y là","C2H5OH và CH2=CH2","CH3CHO và C2H5OH","C2H5OH và CH3CHO","CH3CH(OH)COOH và CH3CHO","C"
"Nhỏ iot lên chuối xanh xuất hiện màu xanh tím do có","Glucose","Saccarose","Tinh bột","Xenlulose","C"
"Sản xuất gương soi dùng AgNO3/NH3 với","Alđehyd fomic","Saccarose","Glucose","Acetilen","C"
"Hai chất đồng phân","Glucose và mantose","Fructose và glucose","Fructose và mantose","Saccarose và glucose","B"
"Hỗn hợp 2 amin no đơn chức kế tiếp phản ứng HCl. Hai amin là","CH3NH2 và C2H5NH2","C2H5NH2 và C3H7NH2","C3H7NH2 và C4H9NH2","CH3NH2 và (CH3)3N","A"
"Sắp xếp giảm dần tính bazơ","1>3>5>4>2>6","5>4>2>1>3>6","6>4>3>5>1>2","5>4>2>6>1>3","D"
"Dãy làm quỳ tím ẩm hóa xanh","Anilin, methylamin, NH3","NH4Cl, methylamin, NaOH","Anilin, NH3, NaOH","Methylamin, NH3, CH3COONa","D"
"Chất C3H7O2N tác dụng NaOH, HCl và làm mất màu Br2","CH2=CHCOONH4","H2NCH2CH2COOH","CH3CH(NH2)COOH","CH3CH2CH2NO2","A"
"Cặp alcohol và amin cùng bậc","(CH3)2CHOH và (CH3)2CHNH2","(CH3)3COH và (CH3)3CNH2","C6H5CH(OH)CH3 và C6H5NHCH3","C6H5CH2OH và (C6H5)2NH","C"
"Phân biệt glyxin, CH3COOH, C2H5NH2 bằng","Na","NaOH","Quỳ tím","HCl","C"
"Tên đúng của CH3-CH(CH3)-NH2","Methylethylamin","Ethylmethylamin","Isopropanamin","Isopropylamin","D"
"Base mạnh nhất","NH3","C6H5CH2NH2","C6H5NH2","(CH3)2NH","D"
"Base yếu nhất","C6H5NH2","C6H5CH2NH2","(C6H5)2NH","NH3","C"
"7,5 gam glyxin phản ứng NaOH thu khối lượng muối","9,7g","9,8g","7,9g","7,5g","A"
"Aspirin tổng hợp từ","Acid benzoic và methanol","Acid salicylic và anhidric acetic","Acid salicylic và acetaldehyde","Phenol và anhidric acetic","B"
"Dãy tăng dần tính base","Methylamin<ethylamin<anilin","Anilin<methylamin<NH3","Methylamin<dimethylamin<trimethylamin","Anilin<NH3<ethylamin","D"
"Benzen + CH3Cl/AlCl3 → X; X + KMnO4/H+ → Y. Y là","Acid benzoic","Acid adipic","Toluen","Kali benzoat","A"
"Công thức mạch hở của glucose","A","B","C","D","B"
"Tên đúng của C6H5CH2NH2","Phenylamin","Benzylamin","Anilin","Phenylmethylamin","B"
"Thuốc thử phân biệt benzen, anilin, stiren","Phenolphthalein","Br2","NaOH","Quỳ tím","B"
"Anilin và phenol đều phản ứng với","NaCl","HCl","Br2","NaOH","C"
"5,9 gam C3H7NH2 tác dụng HCl thu khối lượng muối","8,15g","9,65g","8,10g","9,55g","D"
"Dehydrat hóa 2-methylpentan-3-ol cho sản phẩm chính","2-methylpen-2-en","3-methylpen-2-en","2-methylbut-2-en","3-methylpent-3-en","A"
"Danh pháp thay thế hợp chất đã cho","pent-3-en-3-ol","2-methylpent-4-en-1-ol","1-methylbut-2-en-1-ol","pent-3-en-2-ol","D"
