Question,A,B,C,D,Answer
"1. Đốt cháy hoàn toàn 2,2 gam một alkan X thu 3,36 lít khí CO 2 (đktc). CTPT của X?",CH 4.,C 2H6.,C 3H8.,C 4H,
"10. 2. Đốt cháy hoàn toàn 2,92 gam hh X gồm 2 alkan kế tiếp thu được H 2O và 4,48 lít CO 2 (đktc).Vậy X là :",CH 4 và C 2H6.,C 2H6 và C 3H8.,C 3H8 và C 4H10.,C 4H10 và C 5H,
"12. 3. Cho 2,84 gam một hỗn hợp 2 alcol đơn chức là đồng đẳng liên tiếp nhau tác dụng với Na vừa đủ, tạo ra 4,6 gam chất rắn và V lít khí H 2 ở đktc. CTPT của 2 alcol trên là:",CH 3OH và C 2H5OH,C 2H5OH và C 3H7OH,C 2H3OH và C 3H5OH,C 3H5OH và C 4H7OH,
4. CTCT của glycerol là:,HO-CH 2-CHOH -CH 2OH.,HO-CH 2-CH 2-OH.,HO-CH 2-CHOH -CH 3.,HO-CH 2-CH 2-CH 2-OH.,
"5. Khi lên men 360 gam glucose với hiệu suất 100%, khối lượng alcol et hylic thu được là :",92 gam.,184 gam.,138 gam.,276 gam.,
"6. Đun nhẹ một acid carboxylic đơn chức X và một lượng vừa đủ 9,2 gam C 2H5OH có acid H 2SO 4 đặc làm xt thu được 14,8 gam este. Tìm CTPT của X?",CH 3COOH.,HCOOH.,CH 3COOCH 3.,C 2H5COOH,
7. So sánh tính acid của các chất sau đây? CH 2Cl-CH 2COOH (1); CH 3COOH (2); HCOOH (3); CH 3-CHCl -COOH (4),(3) > (2) > (1) > (4),(4) > (2) > (1) > (3),(4) > (1) > (3) > (2),(1) > (2) > (4) > (3).,
"8. Sắp xếp các hợp chất: CH 3COOH, C 2H5OH và C 6H5OH theo thứ tự tăng acid:",C2H5OH < CH 3COOH < C 6H5OH,C 6H5OH < CH 3COOH < C 2H5OH,CH 3COOH < C 6H5OH < C 2H5OH,C 2H5OH < C 6H5OH < CH 3COOH,
"9. Có thể dùng một chất nào trong các chất dưới đây để nhân biết được các chất: alcol ethylic, glycerol, alđehyd acetic đựng trong ba lọ mất nhãn?",Cu(OH) 2.,Quỳ tím.,Kim loại Na.,dd AgNO 3/NH,
"3. 10. Oxi hóa hoàn toàn 2,2 gam một aldehyd X đơn chức thu được 3 gam acid tương ứng. Công thức X:",HCHO.,C2H3CHO.,C2H5CHO.,CH 3CHO.,
"11. Cho 2,9 gam một aldehyd X phản ứng hoàn toàn với lượng dư AgNO 3 trong dung dịch NH 3 thu được 21,6 gam Ag. Công thức cấu tạo thu gọn của X là:",HCHO.,CH 2=CH –CHO.,O=CH –CHO.,CH 3CHO.,
12. Dãy gồm các chất đều tác dụng với AgNO 3 trong dung dịch NH 3:,"alđehyd acetic, but –1-yn, ethilen.","alđehit acetic, acetilen, but -2-yn.","acid fomic, vinylaxetilen, propyn.","alđehyd fomic, acetilen, ethilen.",
13. Chất thuộc loại carbohiđrat là :,ethanol,poly(vinyl clorid).,xenlulose.,glycerol.,
14. Cặp chất nào sau đây không phải là đồng phân của nhau?,Mantose và saccarose.,Tinh bột và xenlulose.,Fructose và glucose.,Methyl fomat và acid acetic.,
"15. Tinh bột, xenlulose, saccarose, mantose đều có khả năng tham gia phản ứng:",hòa tan Cu(OH) 2.,trùng ngưng.,tráng gương.,thủy phân.,
16. Saccarose và glucose đều có:,phản ứng với dung dịch NaCl.,phản ứng thủy phân trong môi trường acid,phản ứng với Cu(OH) 2 ở nhiệt độ thường tạo thành dung dịch xanh lam.,"phản ứng với AgNO 3 trong dung dịch NH 3, đun nóng.",
"17. Cho sơ đồ chuyển hóa: Glucose → X → Y → CH 3COOH. Hai chất X, Y lần lượt là",C 2H5OH và CH 2=CH 2.,CH 3CHO và C 2H5OH.,C 2H5OH và CH 3CHO.,CH 3CH(OH)COOH và CH 3CHO.,
18. Nhỏ dd iot lên miếng chuối xanh thấy xuất hiện màu x anh tím là do chuối xanh có:,glucose.,saccarose.,tinh bột.,xenlulose.,
"19. Trong công nghiệp để sản xuất gương soi và ruột phích nước, người ta cho dung dịch AgNO 3 trong NH 3 tác dụng với:",alđehyd fomic.,saccarose.,glucose.,acethilen.,
20. Hai chất đồng phân của nhau là :,glucose và mantose.,fructose và glucose.,fructose và mantose.,saccarose và glucose.,
"21. Cho 2,1 gam hỗn hợp X gồm 2 amin no, đơn chức, kế tiếp nhau trong dãy đồng đẳng phản ứng hết với dung dịch HCl (dư), thu được 3,925 gam hỗn hợp muối. Công thức của 2 amin trong hỗn hợp X là :",CH 3NH 2 và C 2H5NH 2.,C 2H5NH 2 và C 3H7NH 2.,C 3H7NH 2 và C 4H9NH 2.,CH 3NH 2 và (CH 3)3N.,
22. Sắp xếp các hợp chất sau đây theo thứ tự giảm dần tính bazơ: (1) C 6H5NH 2 (2) C 2H5NH 2 (3) (C 6H5)2NH (4) (C 2H5)2NH (5) NaOH (6) NH 3,1 > 3 > 5 > 4 > 2 > 6.,5 > 4 > 2 > 1 > 3 > 6.,6 > 4 > 3 > 5 > 1 > 2.,5 > 4 > 2 > 6 > 1 >,
3. 23. Dãy gồm các chất đều làm giấy quỳ tím ẩm chuyển sang màu xanh là:,"anilin, methyl amin, amoniac.","amoni clorid, methyl amin, natri hiđroxyd.","anilin, amoniac, natri hiđroxyd.","methyl amin, amoniac, natri acetat.",
"24. Chất X có công thức phân tử C 3H7O2N. X có thể tác dụng với NaOH, HCl và làm mất màu dung dịch brom. CTCT của X là:",CH 2=CHCOONH 4.,H 2NCH 2CH 2COOH.,CH 3CH(NH 2)COOH.,CH 3CH 2CH 2NO,
2. 25. Cặp alcol và amin nào sau đây cùng bậc?,(CH 3)2CHOH và (CH 3)2CHNH 2.,(CH 3)3COH và (CH 3)3CNH 2.,C 6H5CH(OH)CH 3 và C 6H5NHCH 3.,C 6H5CH 2OH và (C 6H5)2NH.,
"26. Để phân biệt 3 dd H 2NCH 2COOH, CH 3COOH và C 2H5NH 2 chỉ dùng 1 thuốc thử :",Na kim loại.,dd NaOH.,quỳ tím.,dd HCl.,
"27. Trong các tên gọi dưới đây, tên nào phù hợp với chất CH 3–CH(CH 3)–NH 2?",Methylethylamin.,Ethylmethylamin.,Isopropanamin.,Isopropylamin.,
"28. Trong các chất: C 6H5CH 2NH 2, NH 3, C6H5NH 2, (CH 3)2NH, chất có lực base mạnh nhất",NH 3,C 6H5CH 2NH 2,C 6H5NH 2,(CH 3)2NH,
"29. Trong các chất: C 6H5NH 2, C6H5CH 2NH 2, (C 6H5)2NH, NH 3 chất có lực base yếu nhất:",C 6H5NH 2,C 6H5CH 2NH 2,(C 6H5)2NH,NH 3,
"30. cho 7,5 gam acid aminoacetic (NH 2-CH 2-COOH) phản ứng hết với dung dịch NaOH. Sau phản ứng khối lượng muối thu được là bao nhiêu (H=1; C=12; O=16; Na=23)","9,7g","9,8g","7,9g","7,5g",
31. Aspirin được tổng hợp từ:,Acid benzoic và ancol metylic.,Acid salicylic và anhidric acetic.,Acid salicylic và aldehyd acetic.,"Phenol và anhidric acetic. 32.Dãy sắp xếp theo chiều tăng dầ n tính base : A. methyl amin < ethyl amin < anilin. B. anilin < methyl amin < amoniac. C. methyl amin < dimethyl amin < trimethyl amin. D. anilin < amoniac < ethyl amin. 33.Cho sơ đồ chuyển hóa: +o 33 4 + CH Cl, AlCl + KMnO ;H ,tBenzen X Y⎯⎯⎯⎯⎯ → ⎯⎯⎯⎯⎯→ . Y là: A. Acid benzoic. B. Acid adipic. C. Toluen. D. Kali benzoat. 34.Công thức cấu tạo dạng mạch hở của glucose là: A. . B. . C. . D. .",
"35. Trong các tên gọi dưới đây, tên nào phù hợp với chất C 6H5-CH 2-NH 2?",Phenylamin.,Benzylamin.,Anilin.,Phenylmetylamin.,
"36. Có 3 chất lỏng benzen, anilin, stiren, đựng riêng biệt trong 3 lọ mất nhãn. Thuốc thử để phân biệt 3 chất lỏng trên là:",dd phenolphtalein.,dd Br 2,dd NaOH.,quì tím.,
37. Anilin (C 6H5NH 2) và phenol (C 6H5OH) đều có phản ứng với:,dd NaCl.,dd HCl.,dd Br 2.,dd NaOH,
"38. Cho 5,9 gam C 3H7NH 2 tác dụng vừa đủ với axit HCl. Khối lượng muối thu được:","8,15 gam.","9,65 gam.","8,10 gam.","9,55 gam",
39. Dehydrat hóa 2 -methylpentan -3-ol thu được sản phảm chính là:,2-methylpen -2-en.,3-methylpen -2-en.,2-methylbut -2-en.,3-methylpent -3-en.,
40. có danh pháp thay thế của hợp chất là :,pent -3-en-3-ol.,2-methylpent -4-en-1-ol.,1-methylbut -2-en-1-ol.,pent -3-en-2-ol.,
41. Sản phẩm của phản ứng 4 LiAlH 2CH =CH-CH=O ⎯⎯⎯ →,CH 3−CH2−CH 2−OH.,CH 3−CH 2−COOH.,CH 2=CH−CH=O.,CH 2=CH−CH 2−OH.,
