Question,A,B,C,D,Answer
"Phần 1 - Câu 1. Một lớp học có 10 bạn học sinh, trong đó có 4 bạn nam. Giáo viên muốn chọn ra 3 học sinh để đi thi học sinh giỏi. Hỏi có bao nhiêu cách chọn?",120,60,210,180,A
Phần 1 - Câu 2. Một cửa hàng có 8 loại cà phê khác nhau. Chủ quán muốn chọn ra 3 loại cà phê để thử nghiệm bán trong tuần tới. Hỏi có bao nhiêu cách chọn?,56,336,84,120,A
"Phần 1 - Câu 3. Một đội bóng gồm 15 cầu thủ. Huấn luyện viên cần sắp xếp 3 cầu thủ vào vị trí tiền đạo, tiền vệ và hậu vệ (khác nhau). Hỏi có bao nhiêu cách sắp xếp?",2730,455,273,3150,A
"Phần 1 - Câu 4. Một nhóm bạn có 6 người, muốn chụp ảnh theo hàng ngang với 4 người một lượt. Hỏi có bao nhiêu cách sắp xếp 4 người đó?",360,120,720,24,A
"Phần 1 - Câu 5. Một giáo viên có 12 đề thi khác nhau, muốn chọn ngẫu nhiên 2 đề để làm bài kiểm tra giữa kỳ. Hỏi có bao nhiêu cách chọn 2 đề?",66,132,24,144,A
"Phần 1 - Câu 6. Một hộp có 5 viên bi đỏ, 3 viên bi xanh, 2 viên bi vàng. Lấy ngẫu nhiên 1 viên. Xác suất lấy được bi xanh là:",1/3,3/10,2/5,1/2,B
"Phần 1 - Câu 7. Một thùng chứa 6 lon nước cam, 4 lon nước chanh và 10 lon nước suối. Lấy ngẫu nhiên 1 lon. Xác suất chọn được nước suối là:",1/2,5/10,1/3,1/4,A
Phần 1 - Câu 8. Một người quay bánh xe số gồm 8 phần bằng nhau đánh số từ 1 đến 8. Xác suất quay được số chia hết cho 3 là:,1/4,3/8,1/3,2/5,A
Phần 1 - Câu 9. Một bộ bài Tây 52 lá được xào đều. Lấy ngẫu nhiên 1 lá. Xác suất để rút được quân cơ là:,1/4,1/13,1/2,4/13,A
"Phần 1 - Câu 10. Một giỏ trái cây có 3 quả táo, 5 quả cam, và 2 quả lê. Lấy ngẫu nhiên 1 quả. Xác suất lấy được quả táo hoặc quả lê là:",1/2,3/10,5/10,1/5,A
Phần 1 - Câu 11. Một con xúc xắc 6 mặt được tung 1 lần. Xác suất để số hiện ra là số nguyên tố là:,1/2,2/3,1/3,4/6,A
Phần 1 - Câu 12. Một túi có 7 viên bi được đánh số từ 1 đến 7. Lấy ngẫu nhiên 1 viên. Xác suất lấy được số lẻ là:,3/7,1/2,4/7,5/7,C
Phần 1 - Câu 13. Một nhóm có 5 sinh viên nam và 3 sinh viên nữ. Chọn ngẫu nhiên 1 người để làm đại diện. Xác suất người đó là nữ là:,3/8,1/2,5/8,1/3,A
"Phần 1 - Câu 14. Một máy in có xác suất in sai 1 trang là 0.02. In 1 trang ngẫu nhiên, xác suất để không bị lỗi là:",0.98,0.02,0.2,0.8,A
"Phần 1 - Câu 15. Một công ty có 4 phòng ban: Hành chính, Kỹ thuật, Kế toán, Kinh doanh. Chọn ngẫu nhiên 1 phòng để tổ chức sự kiện. Xác suất chọn phòng Kế toán là:",1/4,1/3,1/2,2/5,A
"Phần 1 - Câu 16. Trong một lớp học có 30 sinh viên, trong đó có 18 bạn biết lập trình Python, 10 bạn biết lập trình Java và 5 bạn biết cả hai. Chọn ngẫu nhiên 1 bạn biết Python. Xác suất bạn đó cũng biết Java là:",1/6,5/18,5/10,5/30,B
"Phần 1 - Câu 17. Trong một công ty có 100 nhân viên, 60 người uống cà phê buổi sáng, trong số đó có 20 người đi làm trễ. Xác suất một người đi làm trễ biết rằng họ uống cà phê là:",1/3,1/5,20/60,2/5,A
"Phần 1 - Câu 18. Một lô hàng có 90 sản phẩm, trong đó có 15 sản phẩm bị lỗi. Nếu một sản phẩm được kiểm tra và biết là không bị lỗi, xác suất nó thuộc lô A (có 50 sản phẩm, 5 lỗi) là:",45/75,50/90,45/85,50/75,A
